id,name,latitude,longitude
1,private parking,13.04602,80.21503
2,parkn in sathyam,13.05837,80.27368
3,sri lakshmi free parking,13.08365,80.21783
4,railway parking,12.97154,80.14238
5,international aiport parking,12.99194,80.18451
6,central parking,13.082449,80.275588
7,airport metroparking,12.99983,80.19483
8,guindy railway station parking,13.00843,80.20717
9,koyambedu bus terminus,13.0697,80.201477
10,chennai egmore parking,13.07761,80.26085
11,tambaram railway,12.93686,80.12933
12,velachery bypass parking,12.9835,80.21796
13,OMR road parking ,12.83547,80.228363
14,ECR parking,12.80569,80.242943
15,sholinganallur,12.86956,80.167747
16,maduravoyal,13.0696,80.1502
17,besant nagar beach,13.00039,80.27108
18,pallikaranai parking,12.93063,80.20315
19,anna nagar arch,13.09565,80.22039
20,ayanavaram ,13.09887,80.23105
21,triplicane,13.07138,80.27347
22,greenways road free parking,13.02246,80.25288
23,elite parking,13.03161,80.17048
24,narayana parking,13.12529,80.27447
25,choolaimedu parking,13.06765,80.21879
26,overnight parkingservices,13.14408,80.2041
27,seven star parking,13.05768,80.12782
28,porur parking,13.02182,80.14041
