id,name,latitude,longitude
26,HP Petrol and Diesel bunk,13.04923,80.20708
27,HP Petrol bunk,13.13551,80.22016
28,Bharat PetrolBunk,13.08002,80.25006
29,BP Petrol Bunk,13.15002,80.22901
30,Gas Station ,13.04488,80.26251
31,ST Deisel Pump Service,13.17933,80.29594
32,Indian Oil Petrol Pump,12.9015,80.22077
33,Indian Oil Fuel Station,12.91979,80.087021
34,Essar Petrol Bunk,13.09527,80.16175
35,Reliance Petroleum,13.13495,80.1726
36,Indian Oil Petrol Pump,12.531177,77.790214
37,Bharat PetrolBunk,13.1319,80.26442
38,Bharat Petroleum petrol Bunk,13.0767,80.23807
39,Shell V Pro Petrol Bunk,13.05871,80.05204
40,HP-Petrol Bunk Services,13.09771,80.16267
41,Indian Oil Petrol Bunk,13.03357,80.26793
42,Sri Senthivel Diesel Pump Service,13.07131,80.25886
43,Indian Oil Fuel Station ,13.04467,80.18777
44,Bharat Petroleum,13.07864,80.28165
45,BP Petrol Bunk,12.96901,80.25929
46,Thillai Natarajan Petrol Hp Petrol Bunk,13.04532,80.11705
47,Gajapathy Agencies HP Petrol Bunk,13.0524,80.08988
48,Indian Oil Petrol Pump,13.0498,80.08985
49,Hindustan Petrol Pump,13.08563,80.23484
50,Petrol Pump,13.05139,80.245682
51,Indian Oil Petrol Bunk,13.03151,80.204
52,"Essar Oil,Sri Vari Agencies Ambattur",13.10616,80.15123
53,Shansco Bunk,13.07614,80.2363
54,Hindustan Petroleum Retail Service,13.04676,80.24852
55,Immanuel Agencies(IOCL),13.02657,80.1744
56,Sri Ramachandra Fuel,13.03704,80.14038
57,Indian Oil Sri Ganesh Service,13.03228,80.21855
58,Hindustan Petroleum Fuel,13.05353,80.23799
59,Reliance Petroleum,13.13495,80.1726
60,Bharat Petroleum,13.00791,80.23473
