id,name,to2,to1,from1,from2
1,VGP Transport service,13.06181,80.24866,80.2492,13.07
2,Kalavani Transport,13.06181,80.24866,80.2492,13.07
3,Prince Transport & logistics,13.07374,80.25246,80.2492,13.07
4,Sri Mahalkakshmi Transport,13.01176,80.15374,80.2492,13.07
5,Seenu Transport Private Limited,13.082702,80.242465,80.2492,13.07
6,Sri Girija Transport,13.09032,80.28513,80.2492,13.07
7,Navata Road Transport,13.10514,80.28343,80.2492,13.07
8,Federal Transport Pvt Ltd,13.08981,80.28912,80.2492,13.07
9,Chakra Cargo Movers,13.06146,80.15753,80.2492,13.07
10,Paradise Transport,13.08136,80.273201,80.2492,13.07
11,Surat Goods Transport,13.0777,80.24318,80.2492,13.07
12,Visalandhra Goods Transport,13.08394,80.26981,80.2492,13.07
13,Kesineni Cargo Transport,13.01493,80.21265,80.2492,13.07
14,ABU Transport,13.0777,80.29171,80.2492,13.07
15,TVS Cargo & Transport,13.04298,80.14921,80.2492,13.07
16,Freight Forwarding Company,13.08288,80.24687,80.2492,13.07
17,Hindustan Cargo Ltd,13.04597,80.25866,80.2492,13.07
18,Paramount Goods Transport,13.05734,80.16124,80.2492,13.07
19,Orange Cargo Carriers,13.060408,80.162116,80.2492,13.07
20,SP Goods Transport,13.18984,80.1914,80.2492,13.07
21,Chandra Transport Corporation,13.09609,80.27736,80.2492,13.07
22,Trans India Goods Carriers,13.08978,80.28962,80.2492,13.07
23,Geodis India Pvt Limited,13.0528,80.24304,80.2492,13.07
24,Dev Forwarders,13.06366,80.24349,80.2492,13.07
25,Cadrgo Wings,13.06366,80.24349,80.2492,13.07
26,Monopoly Carriers & Cargo,13.107251,80.246902,80.2492,13.07
27,Green World Logistics Pvt Ltd,13.05326,80.24774,80.2492,13.07
28,Kerry Indev Logistics Pvt Ltd,13.05493,80.2457,80.2492,13.07
29,Lakshmi Cargo Ltd,13.07293,80.261253,80.2492,13.07
