id,name,latitude,longitude
1,ECR tollgate,12.87654,80.245102
2,Navalur tollgate ,12.815149,80.228133
3,Perumbakkam tollgate,12.90114,80.22784
4,OMR Toll plaza,12.94996,80.23487
5,vanagaram toll gate,13.04058,80.14948
6,Surapattu toll plaza,13.14436,80.18822
7,Perungudi toll plaza,12.95532,80.24551
8,Surapet Toll Plaza,13.055603,80.158025
9,Porur Toll plaza,13.02182,80.14041
10,ITEL toll plaza,13.066682,80.224741
11,Nemili Toll plaza,12.92117,79.87204
12,Thiruvallur tollgate,13.19542,80.17807
13,Anumandai Toll gate,12.14527,79.924744
14,Paranur Toll plaza,12.70214,79.96492
15,Perumbakkam tollgate,12.90114,80.22784
16,Chennasamundram Tollgate,12.91715,79.3892
17,Trichy tollgate,10.79324,78.69578
18,Kalakurichi toll gate,11.71306,79.20725
19,Erukkancheri Tollgate,13.12502,80.25542
20,Thiruchitrambalam tollgate,11.9927,79.7672
21,Trichy-Thanjavur Tollgate,10.72108,78.96486
22,Krishnagiri Toll plaza,12.56464,78.17775
23,Toll gate Athur,11.58667,78.75721
24,Karur Dindigul Tollgate,10.32295,77.95199
25,Vaniyambadi Toll Plaza,12.92147,79.13156
