ID,name,latitude,longitude
1,Gov museum signal,13.07131,80.25886
2,ritherdon road signal,13.07911,80.25666
3,stephenson road,13.10922,80.25624
4,valluvar kottam high road,13.065846,80.243442
5,Arumbakkam ,13.075112,80.216142
6,nelson manikkam road,13.068091,80.22657
7,anna nagar flyover,13.072479,80.221298
8,manali nagar signal0,13.076882,80.211855
9,southern trunk road,13.076528,80.20381
10,virugambakkam,13.075341,80.196317
11,thirumamgalam,13.08268,80.198467
12,koyambedu,13.074425,80.194494
13,nerkundram,13.071447,80.186268
14,maduravoyal,13.061285,80.164089
15,vishwas nagar,13.067456,80.177329
16,maduravoyal,13.061017,80.156562
17,Valluvar Kottam High Rd,13.057227,80.24284
18,panangal park market,13.053709,80.234781
19,kodambakkam,13.052386,80.220399
20,ashok nagar,13.043802,80.217482
21,manthope colony,13.03513,80.212277
22,manthope south rd,13.032254,80.20983
23,ekkatuthangal,13.021862,80.206408
24,thousand lights,13.052787,80.250832
25,teynampet,13.045551,80.248246
26,mount road,13.035203,80.245999
27,nandanam,13.02976,80.245698
28,gandhi mandapam,13.018224,80.241194
29,kotturpuram,13.007075,80.24032
30,guindy national park,13.009139,80.228352
31,little mount,13.011132,80.217899
32,egmore,13.080453,80.265108
33,nehru stadium,13.08943,80.269786
34,basin bridge road,13.104466,80.271162
35,vyasarpadi,13.110772,80.265765
36,erukancheri,13.123549,80.248287
37,madhavaram,13.139077,80.227542
38,station road,13.081726,80.275048
39,periyamet,13.085082,80.275833
40,adhikesavapuram,13.080941,80.270785
41,george town,13.082417,80.281717
42,esplanade road,13.085516,80.284447
43,george town road,13.085568,80.288901
44,high court road,13.088442,80.290129
45,mannady,13.095103,80.292487
46,royapuram flyover,13.10105,80.294344
47,chetty thotam,13.105954,80.293344
48,ebrahim street,13.102627,80.290905
49,thiruvalluvar nagar,13.104297,80.287104
50,old washermanpet,13.108914,80.2867
51,pudhumanai kuppam,13.107928,80.291463
52,cemetry road,13.108913,80.286717
53,mc road,13.111805,80.288064
54,royapuram flyover,13.114163,80.292434
55,jeevarthnam road,13.124923,80.294544
56,nagoor garden,13.134313,80.297109
57,kamaraj nagar,13.12072,80.293621
58,thattankulam,13.104433,80.271468
59,vyasarpadi,13.110849,80.265811
60,kalyana puram,13.097696,80.275242
61,GNT road,13.092491,80.275249
62,adhikesava puram,13.080804,80.265623
63,vyasapadi industrialestate,13.118435,80.259508
64,erukanchery,13.123271,80.248669
65,moolakadai junction,13.128812,80.241796
66,madhavaram,13.13854,80.228334
67,manavalan nagar,13.136465,80.216678
68,sivasakthi nagar kolathur,13.125559,80.205872
69,lakshmi puram,13.12038,80.199355
70,TVS industries,13.111062,80.197034
71,villivakkam,13.108783,80.206076
72,konuur,13.106753,80.207343
73,seeyalam konnur,13.109132,80.212528
74,rajiv gandhi nagar,13.115749,80.211156
75,whirlpool industries,13.123993,80.212227
76,thirumngalam,13.087236,80.197607
77,chetpet,13.075827,80.233722
78,valluvar kottam,13.066472,80.24347
79,peteers road,13.054794,80.254174
80,adyar,13.007378,80.258774
81,LB road,13.001567,80.256567
82,shasri nagar adyar,12.99721,80.255903
83,sadar patel road,13.006766,80.247912
84,thiruvanmiyur,12.987968,80.255785
85,lalitha nagar,12.983215,80.259304
86,vellachery,12.981443,80.233863
87,vellachery high road,12.9757,80.221029
88,pallikaranai,12.948886,80.210285
89,kovilambakkam,12.949108,80.185577
90,arul nagar pammal,12.954414,80.159287
91,madipakkam,12.965926,80.188571
92,nanganallur,12.974662,80.192242
93,medavakkam,12.982811,80.196266
94,sembakkam,12.922521,80.163123
95,nandambakkam,13.015826,80.190958
96,venkateswara nagar,13.029214,80.169132
97,iyyapanthangal,13.020786,80.136717
98,ambattur estate,13.100944,80.16202
99,thirumullaivoyal,13.130787,80.131517
100,annanur railway colony,13.117532,80.123603
101,avadi,13.099458,80.108178
102,pattabiram,13.12384,80.053489
103,anna nagar west,13.087211,80.198028
104,new avadi road,13.096438,80.21924
105,kk nagar,13.09864,80.233875
106,perambur,13.116249,80.231442
107,anderson road,13.097669,80.242177
108,lakshmi nagar,12.939839,80.182603
109,chrompet,12.948252,80.155812
