id ,name,latitude,longitude
1,Ravi Lorry Service,13.1379,80.239906
2,Eicher Truck Service,13.05621,80.0951
3,Mari Tata Ace Workshop,13.10858,80.15191
4,Ashok Leyland Service Centre For Trucks,12.9607,80.14585
5,Sri Vinayaka Spring Service Centre,13.0802,80.2264
6,Lorry Servicing Centre,13.13771,80.24414
7,Lawrence & Co,13.04085,80.09207
8,Hajeera Auto Mobiles,13.04085,80.09207
9,MS Tirupathi Lorry Services,13.1379,80.239906
10,Om Shakthi Auto Works,13.18984,80.1914
11,ABI Motors,13.07209,80.20186
12,SaiRam Motors,12.95601,80.14353
13,Labor Motor Works,13.16859,80.23019
14,Revathi Lorry Service,13.08937,80.27527
15,NSJ Tyre Care,13.05724,80.128
16,Mahendiran Marine Diesel Mechanic,13.1268,80.27529
17,Everest Machinery Movers,12.98614,80.21442
18,TamilNadu Diesel Service,12.95413,80.18919
19,Sadhana Sree Mechanical Works,13.0498,80.08985
20,South India Diesel Service,13.06907,80.27188
21,Super Diesel Pump Service,13.069126,80.270539
22,Diesel Spares Service,13.0777,80.29171
23,Lakshmi Motors,13.05213,80.08997
24,Bujib Body Works,13.06503,80.23109
25,Automotive Mahendra Service Centre,13.00843,80.20717
26,Chennai Springs,13.07191,80.26445
27,Wheels Auto Service,13.06414,80.26927
28,Ambadi Enterprises,13.09754,80.17768
29,Popular Vehicle & Services,13.03908,80.05406
